"","JMMI","district_ID","governorate_ID","org","district_name","governorate_name","Date","org_num","geo"
"1","Apr 2019","YE2408","YE24","SCI","Khur Maksar","Aden",2019-04-01,1,"South"
"2","Apr 2019","YE2408","YE24","SCI","Khur Maksar","Aden",2019-04-01,1,"South"
"3","Apr 2019","YE2408","YE24","SCI","Khur Maksar","Aden",2019-04-01,1,"South"
"4","Apr 2019","YE2408","YE24","SCI","Khur Maksar","Aden",2019-04-01,1,"South"
"5","Apr 2019","YE2408","YE24","SCI","Khur Maksar","Aden",2019-04-01,1,"South"
"6","Apr 2019","YE2408","YE24","SCI","Khur Maksar","Aden",2019-04-01,1,"South"
"7","Apr 2019","YE2408","YE24","SCI","Khur Maksar","Aden",2019-04-01,1,"South"
"8","Apr 2019","YE2408","YE24","SCI","Khur Maksar","Aden",2019-04-01,1,"South"
"9","Apr 2019","YE2408","YE24","SCI","Khur Maksar","Aden",2019-04-01,1,"South"
"10","Apr 2019","YE2408","YE24","SCI","Khur Maksar","Aden",2019-04-01,1,"South"
"11","Apr 2019","YE2404","YE24","SCI","Al Buraiqeh","Aden",2019-04-01,1,"South"
"12","Apr 2019","YE2404","YE24","SCI","Al Buraiqeh","Aden",2019-04-01,1,"South"
"13","Apr 2019","YE2404","YE24","SCI","Al Buraiqeh","Aden",2019-04-01,1,"South"
"14","Apr 2019","YE2404","YE24","SCI","Al Buraiqeh","Aden",2019-04-01,1,"South"
"15","Apr 2019","YE2404","YE24","SCI","Al Buraiqeh","Aden",2019-04-01,1,"South"
"16","Apr 2019","YE2404","YE24","SCI","Al Buraiqeh","Aden",2019-04-01,1,"South"
"17","Apr 2019","YE2404","YE24","SCI","Al Buraiqeh","Aden",2019-04-01,1,"South"
"18","Apr 2019","YE2404","YE24","SCI","Al Buraiqeh","Aden",2019-04-01,1,"South"
"19","Apr 2019","YE2404","YE24","SCI","Al Buraiqeh","Aden",2019-04-01,1,"South"
"20","Apr 2019","YE2404","YE24","SCI","Al Buraiqeh","Aden",2019-04-01,1,"South"
"21","Apr 2019","YE2508","YE25","SCI","Al Milah","Lahj",2019-04-01,1,"South"
"22","Apr 2019","YE2508","YE25","SCI","Al Milah","Lahj",2019-04-01,1,"South"
"23","Apr 2019","YE2508","YE25","SCI","Al Milah","Lahj",2019-04-01,1,"South"
"24","Apr 2019","YE2515","YE25","SCI","Tuban","Lahj",2019-04-01,1,"South"
"25","Apr 2019","YE2515","YE25","SCI","Tuban","Lahj",2019-04-01,1,"South"
"26","Apr 2019","YE2515","YE25","SCI","Tuban","Lahj",2019-04-01,1,"South"
"27","Apr 2019","YE2515","YE25","SCI","Tuban","Lahj",2019-04-01,1,"South"
"28","Apr 2019","YE2515","YE25","SCI","Tuban","Lahj",2019-04-01,1,"South"
"29","Apr 2019","YE2515","YE25","SCI","Tuban","Lahj",2019-04-01,1,"South"
"30","Apr 2019","YE2515","YE25","SCI","Tuban","Lahj",2019-04-01,1,"South"
"31","Apr 2019","YE2515","YE25","SCI","Tuban","Lahj",2019-04-01,1,"South"
"32","Apr 2019","YE2515","YE25","SCI","Tuban","Lahj",2019-04-01,1,"South"
"33","Apr 2019","YE2515","YE25","SCI","Tuban","Lahj",2019-04-01,1,"South"
"34","Apr 2019","YE3201","YE32","ROC","Hidaybu","Socotra",2019-04-01,1,"South"
"35","Apr 2019","YE3201","YE32","ROC","Hidaybu","Socotra",2019-04-01,1,"South"
"36","Apr 2019","YE3201","YE32","ROC","Hidaybu","Socotra",2019-04-01,1,"South"
"37","Apr 2019","YE2113","YE21","DRC","Ataq","Shabwah",2019-04-01,1,"South"
"38","Apr 2019","YE2113","YE21","DRC","Ataq","Shabwah",2019-04-01,1,"South"
"39","Apr 2019","YE2113","YE21","DRC","Ataq","Shabwah",2019-04-01,1,"South"
"40","Apr 2019","YE2114","YE21","DRC","Habban","Shabwah",2019-04-01,1,"South"
"41","Apr 2019","YE2114","YE21","DRC","Habban","Shabwah",2019-04-01,1,"South"
"42","Apr 2019","YE2114","YE21","DRC","Habban","Shabwah",2019-04-01,1,"South"
"43","Aug 2019","YE2408","YE24","SCI","Khur Maksar","Aden",2019-08-01,1,"South"
"44","Aug 2019","YE2408","YE24","SCI","Khur Maksar","Aden",2019-08-01,1,"South"
"45","Aug 2019","YE2408","YE24","SCI","Khur Maksar","Aden",2019-08-01,1,"South"
"46","Aug 2019","YE2408","YE24","SCI","Khur Maksar","Aden",2019-08-01,1,"South"
"47","Aug 2019","YE2408","YE24","SCI","Khur Maksar","Aden",2019-08-01,1,"South"
"48","Aug 2019","YE2408","YE24","SCI","Khur Maksar","Aden",2019-08-01,1,"South"
"49","Aug 2019","YE2408","YE24","SCI","Khur Maksar","Aden",2019-08-01,1,"South"
"50","Aug 2019","YE2408","YE24","SCI","Khur Maksar","Aden",2019-08-01,1,"South"
"51","Aug 2019","YE2408","YE24","SCI","Khur Maksar","Aden",2019-08-01,1,"South"
"52","Aug 2019","YE2408","YE24","SCI","Khur Maksar","Aden",2019-08-01,1,"South"
"53","Aug 2019","YE2404","YE24","SCI","Al Buraiqeh","Aden",2019-08-01,1,"South"
"54","Aug 2019","YE2404","YE24","SCI","Al Buraiqeh","Aden",2019-08-01,1,"South"
"55","Aug 2019","YE2404","YE24","SCI","Al Buraiqeh","Aden",2019-08-01,1,"South"
"56","Aug 2019","YE2404","YE24","SCI","Al Buraiqeh","Aden",2019-08-01,1,"South"
"57","Aug 2019","YE2404","YE24","SCI","Al Buraiqeh","Aden",2019-08-01,1,"South"
"58","Aug 2019","YE2404","YE24","SCI","Al Buraiqeh","Aden",2019-08-01,1,"South"
"59","Aug 2019","YE2404","YE24","SCI","Al Buraiqeh","Aden",2019-08-01,1,"South"
"60","Aug 2019","YE2404","YE24","SCI","Al Buraiqeh","Aden",2019-08-01,1,"South"
"61","Aug 2019","YE2404","YE24","SCI","Al Buraiqeh","Aden",2019-08-01,1,"South"
"62","Aug 2019","YE2404","YE24","SCI","Al Buraiqeh","Aden",2019-08-01,1,"South"
"63","Aug 2019","YE2508","YE25","SCI","Al Milah","Lahj",2019-08-01,1,"South"
"64","Aug 2019","YE2508","YE25","SCI","Al Milah","Lahj",2019-08-01,1,"South"
"65","Aug 2019","YE2508","YE25","SCI","Al Milah","Lahj",2019-08-01,1,"South"
"66","Aug 2019","YE2515","YE25","SCI","Tuban","Lahj",2019-08-01,1,"South"
"67","Aug 2019","YE2515","YE25","SCI","Tuban","Lahj",2019-08-01,1,"South"
"68","Aug 2019","YE2515","YE25","SCI","Tuban","Lahj",2019-08-01,1,"South"
"69","Aug 2019","YE2515","YE25","SCI","Tuban","Lahj",2019-08-01,1,"South"
"70","Aug 2019","YE2515","YE25","SCI","Tuban","Lahj",2019-08-01,1,"South"
"71","Aug 2019","YE2515","YE25","SCI","Tuban","Lahj",2019-08-01,1,"South"
"72","Aug 2019","YE2515","YE25","SCI","Tuban","Lahj",2019-08-01,1,"South"
"73","Aug 2019","YE2515","YE25","SCI","Tuban","Lahj",2019-08-01,1,"South"
"74","Aug 2019","YE2515","YE25","SCI","Tuban","Lahj",2019-08-01,1,"South"
"75","Aug 2019","YE2515","YE25","SCI","Tuban","Lahj",2019-08-01,1,"South"
"76","Aug 2019","YE3201","YE32","ROC","Hidaybu","Socotra",2019-08-01,1,"South"
"77","Aug 2019","YE3201","YE32","ROC","Hidaybu","Socotra",2019-08-01,1,"South"
"78","Aug 2019","YE3201","YE32","ROC","Hidaybu","Socotra",2019-08-01,1,"South"
"79","Aug 2019","YE2113","YE21","DRC","Ataq","Shabwah",2019-08-01,1,"South"
"80","Aug 2019","YE2113","YE21","DRC","Ataq","Shabwah",2019-08-01,1,"South"
"81","Aug 2019","YE2113","YE21","DRC","Ataq","Shabwah",2019-08-01,1,"South"
"82","Aug 2019","YE2114","YE21","DRC","Habban","Shabwah",2019-08-01,1,"South"
"83","Aug 2019","YE2114","YE21","DRC","Habban","Shabwah",2019-08-01,1,"South"
"84","Aug 2019","YE2114","YE21","DRC","Habban","Shabwah",2019-08-01,1,"South"
"85","Dec 2018","YE2408","YE24","SCI","Khur Maksar","Aden",2018-12-01,1,"South"
"86","Dec 2018","YE2408","YE24","SCI","Khur Maksar","Aden",2018-12-01,1,"South"
"87","Dec 2018","YE2408","YE24","SCI","Khur Maksar","Aden",2018-12-01,1,"South"
"88","Dec 2018","YE2408","YE24","SCI","Khur Maksar","Aden",2018-12-01,1,"South"
"89","Dec 2018","YE2408","YE24","SCI","Khur Maksar","Aden",2018-12-01,1,"South"
"90","Dec 2018","YE2408","YE24","SCI","Khur Maksar","Aden",2018-12-01,1,"South"
"91","Dec 2018","YE2408","YE24","SCI","Khur Maksar","Aden",2018-12-01,1,"South"
"92","Dec 2018","YE2408","YE24","SCI","Khur Maksar","Aden",2018-12-01,1,"South"
"93","Dec 2018","YE2408","YE24","SCI","Khur Maksar","Aden",2018-12-01,1,"South"
"94","Dec 2018","YE2408","YE24","SCI","Khur Maksar","Aden",2018-12-01,1,"South"
"95","Dec 2018","YE2404","YE24","SCI","Al Buraiqeh","Aden",2018-12-01,1,"South"
"96","Dec 2018","YE2404","YE24","SCI","Al Buraiqeh","Aden",2018-12-01,1,"South"
"97","Dec 2018","YE2404","YE24","SCI","Al Buraiqeh","Aden",2018-12-01,1,"South"
"98","Dec 2018","YE2404","YE24","SCI","Al Buraiqeh","Aden",2018-12-01,1,"South"
"99","Dec 2018","YE2404","YE24","SCI","Al Buraiqeh","Aden",2018-12-01,1,"South"
"100","Dec 2018","YE2404","YE24","SCI","Al Buraiqeh","Aden",2018-12-01,1,"South"
"101","Dec 2018","YE2404","YE24","SCI","Al Buraiqeh","Aden",2018-12-01,1,"South"
"102","Dec 2018","YE2404","YE24","SCI","Al Buraiqeh","Aden",2018-12-01,1,"South"
"103","Dec 2018","YE2404","YE24","SCI","Al Buraiqeh","Aden",2018-12-01,1,"South"
"104","Dec 2018","YE2404","YE24","SCI","Al Buraiqeh","Aden",2018-12-01,1,"South"
"105","Dec 2018","YE2508","YE25","SCI","Al Milah","Lahj",2018-12-01,1,"South"
"106","Dec 2018","YE2508","YE25","SCI","Al Milah","Lahj",2018-12-01,1,"South"
"107","Dec 2018","YE2508","YE25","SCI","Al Milah","Lahj",2018-12-01,1,"South"
"108","Dec 2018","YE2515","YE25","SCI","Tuban","Lahj",2018-12-01,1,"South"
"109","Dec 2018","YE2515","YE25","SCI","Tuban","Lahj",2018-12-01,1,"South"
"110","Dec 2018","YE2515","YE25","SCI","Tuban","Lahj",2018-12-01,1,"South"
"111","Dec 2018","YE2515","YE25","SCI","Tuban","Lahj",2018-12-01,1,"South"
"112","Dec 2018","YE2515","YE25","SCI","Tuban","Lahj",2018-12-01,1,"South"
"113","Dec 2018","YE2515","YE25","SCI","Tuban","Lahj",2018-12-01,1,"South"
"114","Dec 2018","YE2515","YE25","SCI","Tuban","Lahj",2018-12-01,1,"South"
"115","Dec 2018","YE2515","YE25","SCI","Tuban","Lahj",2018-12-01,1,"South"
"116","Dec 2018","YE2515","YE25","SCI","Tuban","Lahj",2018-12-01,1,"South"
"117","Dec 2018","YE2515","YE25","SCI","Tuban","Lahj",2018-12-01,1,"South"
"118","Dec 2018","YE1204","YE12","B4D","Lawdar","Abyan",2018-12-01,1,"South"
"119","Dec 2018","YE1204","YE12","B4D","Lawdar","Abyan",2018-12-01,1,"South"
"120","Dec 2018","YE1204","YE12","B4D","Lawdar","Abyan",2018-12-01,1,"South"
"121","Dec 2018","YE1211","YE12","TYF","Khanfir","Abyan",2018-12-01,1,"South"
"122","Dec 2018","YE1211","YE12","TYF","Khanfir","Abyan",2018-12-01,1,"South"
"123","Dec 2018","YE1211","YE12","TYF","Khanfir","Abyan",2018-12-01,1,"South"
"124","Dec 2018","YE1211","YE12","TYF","Khanfir","Abyan",2018-12-01,1,"South"
"125","Dec 2018","YE1211","YE12","TYF","Khanfir","Abyan",2018-12-01,1,"South"
"126","Dec 2018","YE1211","YE12","TYF","Khanfir","Abyan",2018-12-01,1,"South"
"127","Dec 2018","YE1211","YE12","TYF","Khanfir","Abyan",2018-12-01,1,"South"
"128","Dec 2018","YE1211","YE12","TYF","Khanfir","Abyan",2018-12-01,1,"South"
"129","Dec 2018","YE1211","YE12","TYF","Khanfir","Abyan",2018-12-01,1,"South"
"130","Dec 2018","YE1211","YE12","TYF","Khanfir","Abyan",2018-12-01,1,"South"
"131","Dec 2018","YE1211","YE12","TYF","Khanfir","Abyan",2018-12-01,1,"South"
"132","Dec 2018","YE1211","YE12","TYF","Khanfir","Abyan",2018-12-01,1,"South"
"133","Dec 2018","YE1211","YE12","TYF","Khanfir","Abyan",2018-12-01,1,"South"
"134","Dec 2018","YE1211","YE12","TYF","Khanfir","Abyan",2018-12-01,1,"South"
"135","Dec 2018","YE1211","YE12","TYF","Khanfir","Abyan",2018-12-01,1,"South"
"136","Dec 2018","YE1211","YE12","TYF","Khanfir","Abyan",2018-12-01,1,"South"
"137","Dec 2018","YE1211","YE12","TYF","Khanfir","Abyan",2018-12-01,1,"South"
"138","Dec 2018","YE1211","YE12","TYF","Khanfir","Abyan",2018-12-01,1,"South"
"139","Dec 2018","YE3201","YE32","ROC","Hidaybu","Socotra",2018-12-01,1,"South"
"140","Dec 2018","YE3201","YE32","ROC","Hidaybu","Socotra",2018-12-01,1,"South"
"141","Dec 2018","YE3201","YE32","ROC","Hidaybu","Socotra",2018-12-01,1,"South"
"142","Dec 2019","YE2402","YE24","SCI","Ash Shaikh Outhman","Aden",2019-12-01,1,"South"
"143","Dec 2019","YE2402","YE24","SCI","Ash Shaikh Outhman","Aden",2019-12-01,1,"South"
"144","Dec 2019","YE2402","YE24","SCI","Ash Shaikh Outhman","Aden",2019-12-01,1,"South"
"145","Dec 2019","YE2402","YE24","SCI","Ash Shaikh Outhman","Aden",2019-12-01,1,"South"
"146","Dec 2019","YE2402","YE24","SCI","Ash Shaikh Outhman","Aden",2019-12-01,1,"South"
"147","Dec 2019","YE2402","YE24","SCI","Ash Shaikh Outhman","Aden",2019-12-01,1,"South"
"148","Dec 2019","YE2402","YE24","SCI","Ash Shaikh Outhman","Aden",2019-12-01,1,"South"
"149","Dec 2019","YE2402","YE24","SCI","Ash Shaikh Outhman","Aden",2019-12-01,1,"South"
"150","Dec 2019","YE2402","YE24","SCI","Ash Shaikh Outhman","Aden",2019-12-01,1,"South"
"151","Dec 2019","YE2402","YE24","SCI","Ash Shaikh Outhman","Aden",2019-12-01,1,"South"
"152","Dec 2019","YE2408","YE24","SCI","Khur Maksar","Aden",2019-12-01,1,"South"
"153","Dec 2019","YE2408","YE24","SCI","Khur Maksar","Aden",2019-12-01,1,"South"
